"","Undersampled","Taxname","Taxlifestage","N"
"1",FALSE,"Acanthocyclops vernalis","Acanthocyclops vernalis Adult",12744
"2",FALSE,"Acartia_UnID","Acartia_UnID Adult",12744
"3",FALSE,"Acartia_UnID","Acartia_UnID Juvenile",12744
"4",FALSE,"Acartiella sinensis","Acartiella sinensis Adult",12744
"5",FALSE,"Acartiella_UnID","Acartiella_UnID Juvenile",12744
"6",FALSE,"Asplanchna_UnID","Asplanchna_UnID Adult",12744
"7",FALSE,"Bosmina longirostris","Bosmina longirostris Adult",12744
"8",FALSE,"Calanoida_UnID","Calanoida_UnID Adult",12744
"9",FALSE,"Calanoida_UnID","Calanoida_UnID Juvenile",12744
"10",FALSE,"Cirripedia_UnID","Cirripedia_UnID Larva",12744
"11",FALSE,"Cladocera_UnID","Cladocera_UnID Adult",12744
"12",FALSE,"Copepoda_UnID","Copepoda_UnID Larva",12744
"13",FALSE,"Cyclopoida_UnID","Cyclopoida_UnID Adult",12744
"14",FALSE,"Cyclopoida_UnID","Cyclopoida_UnID Juvenile",12744
"15",FALSE,"Daphnia_UnID","Daphnia_UnID Adult",12744
"16",FALSE,"Decapoda_UnID","Decapoda_UnID Larva",12744
"17",FALSE,"Diaphanosoma_UnID","Diaphanosoma_UnID Adult",12744
"18",FALSE,"Diaptomidae_UnID","Diaptomidae_UnID Adult",12744
"19",FALSE,"Diaptomidae_UnID","Diaptomidae_UnID Juvenile",12744
"20",FALSE,"Eurytemora affinis","Eurytemora affinis Adult",12744
"21",FALSE,"Eurytemora affinis","Eurytemora affinis Juvenile",12744
"22",FALSE,"Eurytemora_UnID","Eurytemora_UnID Larva",12744
"23",FALSE,"Harpacticoida_UnID","Harpacticoida_UnID Undifferentiated",12744
"24",FALSE,"Keratella_UnID","Keratella_UnID Adult",12744
"25",FALSE,"Limnoithona_UnID","Limnoithona_UnID Adult",12744
"26",FALSE,"Limnoithona_UnID","Limnoithona_UnID Juvenile",12744
"27",FALSE,"Oithona similis","Oithona similis Adult",12744
"28",FALSE,"Oithona_UnID","Oithona_UnID Adult",12744
"29",FALSE,"Oithona_UnID","Oithona_UnID Juvenile",12744
"30",FALSE,"Polyarthra_UnID","Polyarthra_UnID Adult",12744
"31",FALSE,"Pseudodiaptomus forbesi","Pseudodiaptomus forbesi Adult",12744
"32",FALSE,"Pseudodiaptomus marinus","Pseudodiaptomus marinus Adult",12744
"33",FALSE,"Pseudodiaptomus_UnID","Pseudodiaptomus_UnID Adult",9146
"34",FALSE,"Pseudodiaptomus_UnID","Pseudodiaptomus_UnID Juvenile",12744
"35",FALSE,"Pseudodiaptomus_UnID","Pseudodiaptomus_UnID Larva",12744
"36",FALSE,"Rotifera_UnID","Rotifera_UnID Adult",12744
"37",FALSE,"Sinocalanus doerrii","Sinocalanus doerrii Adult",12744
"38",FALSE,"Sinocalanus_UnID","Sinocalanus_UnID Juvenile",12744
"39",FALSE,"Sinocalanus_UnID","Sinocalanus_UnID Larva",12744
"40",FALSE,"Synchaeta_UnID","Synchaeta_UnID Adult",12744
"41",FALSE,"Tortanus_UnID","Tortanus_UnID Adult",12744
"42",FALSE,"Tortanus_UnID","Tortanus_UnID Juvenile",12744
"43",FALSE,"Trichocerca_UnID","Trichocerca_UnID Adult",12744
"44",TRUE,"Limnoithona sinensis","Limnoithona sinensis Adult",12744
"45",TRUE,"Limnoithona tetraspina","Limnoithona tetraspina Adult",12744
"46",TRUE,"Oithona davisae","Oithona davisae Adult",12744
"47",TRUE,"Synchaeta bicornis","Synchaeta bicornis Adult",12744
