"","PreyConversion","MacroCategory","Preservative","Weight_type","a_grams","a_mg","b"
"1","Hyperacanthomysis longirostris","mysids","Formalin","Dry",1.03e-06,0.0103,2.2593
"2","Neomysis mercedis","mysids","Formalin","Dry",1.2e-06,0.0012,3.2533
"3","Americorophium spinicorne","amphipod","Ethanol","Wet",3.3e-05,0.033,2.6458652
"4","Americorophium stimpsoni","amphipod","Ethanol","Wet",3.17e-05,0.0317,2.4761398
"5","Amphipoda","amphipod","Ethanol","Wet",2.1e-05,0.021,2.8963214
"6","Corophiidae","amphipod","Ethanol","Wet",3.07e-05,0.0307,2.6305484
"7","Crangonyx","amphipod","Ethanol","Wet",9.3e-06,0.0093,3.2843297
"8","Gammaridae","amphipod","Ethanol","Wet",1.63e-05,0.0163,3.0492894
"9","Gammarus daiberi","amphipod","Ethanol","Wet",1.2e-05,0.012,3.224694
"10","Hyalella","amphipod","Ethanol","Wet",3.34e-05,0.0334,2.5935992
"11","Sinocorophium alienense","amphipod","Ethanol","Wet",2.5e-05,0.025,2.6410647
