Source,Station,Region,Longitude,Latitue,Surveys
20mm,411,Suisun Bay,-122.07653,38.05022,"20mm, FMWT, STN"
FMWT,416,Suisun Bay,-122.09415,38.0702,FMWT
20mm,418,Suisun Bay,-122.09556,38.0675,"20mm, FMWT, STN"
20mm,501,Suisun Bay,-122.02633,38.07333,"20mm, FMWT, STN"
FMWT,502,Suisun Bay,-122.00397,38.05997,FMWT
20mm,504,Suisun Bay,-121.98608,38.05194,"20mm, FMWT, STN"
20mm,508,Confluence,-121.91722,38.04717,"20mm, FMWT, STN"
20mm,513,Confluence,-121.86775,38.05886,"20mm, FMWT, STN"
20mm,519,Suisun Bay,-121.95808,38.07475,"20mm, FMWT, STN"
20mm,520,Confluence,-121.86311,38.03217,"20mm, FMWT, STN"
20mm,602,Suisun Bay,-122.04239,38.11556,"20mm, FMWT, STN"
FMWT,605,Suisun Marsh,-122.05738,38.14853,FMWT
20mm,606,Suisun Marsh,-122.02792,38.17058,"20mm, FMWT, STN"
FMWT,608,Suisun Marsh,-121.88332,38.0887,FMWT
20mm,609,Suisun Marsh,-121.93783,38.16708,"20mm, FMWT, STN"
20mm,610,Suisun Marsh,-121.88911,38.12219,"20mm, STN"
20mm,703,Confluence,-121.79739,38.04861,20mm
20mm,704,Confluence,-121.79031,38.06658,"20mm, FMWT, STN"
20mm,705,Confluence,-121.70875,38.09761,20mm
20mm,706,Confluence,-121.75044,38.08608,"20mm, FMWT, STN"
20mm,707,Confluence,-121.70786,38.11469,"20mm, FMWT, STN"
20mm,711,Confluence,-121.66225,38.17742,"20mm, FMWT, STN"
STN,713,North,-121.66008,38.20712,STN
20mm,716,North,-121.68392,38.23856,"20mm, FMWT, STN"
20mm,718,North,-121.72903,38.25756,20mm
20mm,719,North,-121.6475,38.3335,"20mm, FMWT, STN"
20mm,720,North,-121.77928,38.26264,20mm
FMWT,721,North,-121.70277,38.26815,"FMWT, STN"
FMWT,722,North,-121.68858,38.255027,"FMWT, STN"
20mm,723,North,-121.67308,38.23725,"20mm, FMWT, STN"
20mm,724,North,-121.65208,38.25625,20mm
20mm,726,North,-121.64383,38.28306,20mm
FMWT,795,North,-121.58468,38.5377,"FMWT, STN"
FMWT,796,North,-121.5844,38.47387,"FMWT, STN"
FMWT,797,North,-121.6156,38.40462,"FMWT, STN"
20mm,801,Confluence,-121.844,38.04369,"20mm, STN"
FMWT,802,Confluence,-121.83875,38.03528,FMWT
20mm,804,Confluence,-121.79131,38.01644,"20mm, FMWT, STN"
20mm,809,SouthCentral,-121.69303,38.05378,"20mm, FMWT, STN"
20mm,812,SouthCentral,-121.63992,38.08992,"20mm, FMWT, STN"
20mm,815,SouthCentral,-121.57114,38.08714,"20mm, FMWT, STN"
20mm,901,SouthCentral,-121.6185,38.04625,20mm
20mm,902,SouthCentral,-121.58267,38.02039,"20mm, FMWT, STN"
20mm,906,SouthCentral,-121.50647,38.05003,"20mm, FMWT, STN"
20mm,910,SouthCentral,-121.45303,38.005,"20mm, FMWT, STN"
20mm,912,SouthCentral,-121.36856,37.96642,"20mm, FMWT, STN"
20mm,914,SouthCentral,-121.52,37.9715,"20mm, FMWT, STN"
20mm,915,SouthCentral,-121.56789,37.94428,"20mm, FMWT, STN"
20mm,918,SouthCentral,-121.56714,37.859,"20mm, STN"
20mm,919,SouthCentral,-121.49458,38.10519,"20mm, FMWT, STN"
STN,FRP Grizz,Suisun Bay,-121.98897,38.113421,STN
STN,Honk,Suisun Bay,-121.92111,38.0728,STN
STN,Mont,Suisun Marsh,-121.90889,38.14387,STN
EMP,NZ028,Suisun Bay,-122.04722,38.11722,EMP
EMP,NZ032,Suisun Marsh,-122.02083,38.17028,EMP
EMP,NZ048,Suisun Bay,-121.99583,38.06,EMP
EMP,NZ054,Confluence,-121.90639,38.04583,EMP
EMP,NZ060,Confluence,-121.82889,38.06444,EMP
EMP,NZ064,Confluence,-121.73806,38.08472,EMP
EMP,NZ068,Confluence,-121.68361,38.14806,EMP
EMP,NZ074,Confluence,-121.80361,38.02222,EMP
EMP,NZ086,SouthCentral,-121.57028,38.07778,EMP
EMP,NZ092,SouthCentral,-121.38194,37.97833,EMP
EMP,NZD06,Suisun Bay,-122.11667,38.04444,EMP
EMP,NZD16,SouthCentral,-121.66667,38.09722,EMP
EMP,NZD19,SouthCentral,-121.61361,38.04389,EMP
EMP,NZD28,SouthCentral,-121.57722,37.98278,EMP
EMP,NZM10,SouthCentral,-121.42639,38.04361,EMP
EMP,NZS42,Suisun Marsh,-122.04722,38.18056,EMP
